NAME	EXM	Prim	CTB
CTHRC1	2841.99153167413	20.2575719535025	97.2237520609081
CXADR	482.692028824763	29.7382881685629	148.759902911133
CYBRD1	37.136348856083	9.21452786495265	258.240381190292
CYP11A1	170.570953691458	3036.08804723664	1502.21211073841
CYP19A1	31.8769166023354	1315.04185790048	45.5103650410057
CYP1A1	202.753315953316	56.4413126453468	2147.92698266707
CYTH3	95.7967148226535	754.396745554927	196.802992153878
CYYR1	37.5962118554851	532.71563614537	131.765233735218
DACT1	2476.05465012331	33.0993761124783	68.637750851107
DCAF12	369.050079260961	2202.29736210771	698.74698579312
DEF6	240.317009181587	73.0077421786449	1496.14403925746
DENND2A	537.704826350227	90.6865614754242	2662.42635851833
DENND3	45.8204721785831	14.5425834065555	371.858807551211
DEPP1	681.721364754025	6921.24503498771	835.846091175097
DIAPH3	219.239245846925	47.1204255895424	772.471635605248
DKK3	687.144052378526	27.9523573451563	106.260758543296
DLC1	2075.05334646425	59.4666635646187	915.361296782578
DLGAP5	263.319635761235	24.4940060115196	815.113696081033
DLK2	608.580060700384	4.69311332476888	43.1400169992079
DLL1	272.296356282821	49.6392748010454	1021.66617830304
DLX2	1225.45827897885	12.524548428989	386.421818077779
DLX4	67.590839788685	162.135703225106	982.695478315199
DNAJB9	225.419418815883	1435.88366678949	469.838836202987
DNMT3B	591.168950121776	407.048391245533	3154.00939506005
DOCK5	85.4771029146789	115.498724807107	3082.68406476354
DOK4	8934.20046781746	265.110595874328	4448.07786684299
DPP7	772.27092659548	130.140658185925	2823.50481421356
DPPA3	2.54884855943881	11.2214676945529	260.056468123697
DPYSL3	2815.1730074044	23.554511397984	54.4459246488113
DSC3	23.829476775491	18.7673699938173	274.073429114054
DTL	85.4603774762282	22.2476343104789	590.723678682645
DYSF	101.693539220612	3208.57488160432	325.226573587594
E2F2	9.32966286136844	12.4279026810723	202.49891366816
EDIL3	465.554847179158	6.36281672779083	20.1616108875005
EDNRA	591.891081790706	5.82047435115659	16.2628510161645
EEPD1	57.5995299915922	2014.05076673462	89.6776032389265
EGR1	1442.85296545006	216.259611267129	4990.53288033137
EHD1	505.883059768716	3476.81756148311	843.505721412151
EHD2	587.549581962405	16.2138586538416	298.950081623801
EIF2B2	184.146302401245	1807.99960584054	340.712384776661
ELF5	6.77553249678264	36.4372169599808	568.687465495191
EMILIN2	4008.45772687044	162.682154954378	1906.24519488237
EMP3	440.418576011425	8.60201255109739	125.55822303755
ENGASE	84.6745261095526	1386.46533896472	251.98100870182
ENPEP	4378.52685326549	174.866385678536	1264.65566099466
ENTPD2	39.221692252106	17.6337158102074	222.919000183662
EPB41L3	845.458138373835	4040.32283260978	981.523937976074
EPHB6	439.782742437964	4.78182726477118	13.7155054503117
EPO	244.111312209642	69.9702146933053	1501.88873006902
EPSTI1	855.917610549075	20.2481825009935	170.709252028925
ERVFRD.1	40.3131100429943	964.058001670425	119.736654313104
ERVMER34.1	43.6303528349179	128.892511184195	1437.70602944002
ERVV.1	194.304730648982	9148.48294592898	810.320032084324
ERVV.2	410.416837764748	11525.1999411692	1254.7933043366
ESPL1	204.239402370557	49.1116237932591	999.324768061897
ESRRG	57.7547995113919	1256.84982047774	605.704062916149
ETV4	22.7240421483112	1119.86340407851	54.0668508412423
EVL	584.303777021626	211.155401871666	2673.08245779834
EYA1	723.20004411133	15.3131698259684	238.396236335541
FABP5	31.4937317448485	53.4951409673936	642.03733167224
FABP7	6.12165495846004	24.6967593227977	294.664311267249
FADS3	46.7396517187591	1525.11465495564	305.466034432179
FAM102A	556.02072414162	2929.33750082766	443.661481093911
FAM110B	801.935876239503	19.8434380529171	210.832767375559
FAM162A	643.072207624495	172.509638261811	3726.78082468878
FAM189A2	89.4204955055315	40.7871195979446	647.4335334276
FAM214A	138.429727125795	1406.00462386054	456.044226433785
FAM49A	122.147650706137	2757.17683133101	745.163787884908
FAM83F	36.9894615565193	731.85973983964	107.810602256729
FAR2	26.4088858472578	809.079410245419	200.633480196599
FARP1	2481.79163974473	23.1404077861086	198.085837103468
FBF1	98.3117229439188	69.4035738382676	548.265629243753
FBXO17	944.766127685329	21.9004497309931	724.273200616675
FBXO2	457.893490754994	7.73283110248825	65.7673477881374
FDX1	111.846325527907	781.333525170855	190.601763672143
FGD5	1251.90693702033	34.7590837443477	873.618790174202
FHDC1	168.768359547723	8305.98547901643	3047.36341538593
FHOD3	846.284733911377	7.1929839046967	9.99638330816084
FIBCD1	7.61493773983764	721.673171119897	13.1102985517551
