genesymbols	EXM	Prim
SLC8A1	1006.61620204347	63.1317361249688
SLC9A1	491.605075454835	3067.67717529621
SLC9A3R1	8304.15877357745	364.493333220449
SLCO2A1	1341.39883838326	12.9504158674186
SLIT3	1721.99130394564	13.6551640760786
SLTM	569.274123757256	4385.83403828943
SMAD3	1749.02036695619	117.349340802961
SMARCA1	2879.08882875096	258.929982034536
SMOX	81.6875544815186	1039.48579014422
SMPDL3B	22.827482028932	693.776587982136
SMTNL2	2727.66560077499	61.9447264550434
SNAI2	697.917955700681	5.76787904847423
SNX27	269.559361956366	1182.54218682859
SOCS1	260.242067683523	3900.65600357404
SORL1	1907.63527038355	76.3257944928894
SOX4	5071.33532898474	877.761928779481
SOX5	571.622602643449	8.11763571640613
SOX7	2524.46034620432	80.2648143208932
SP6	194.018832060351	3051.28349015566
SPAG9	418.42128566556	2350.84566779497
SPATA13	17.8023987641127	398.973057518192
SPIRE2	178.796736736225	3015.03888403035
SPNS2	3908.0949720756	439.456938053787
SQSTM1	1195.00221661123	8265.27860965073
SRI	3825.64022084218	174.68904757464
SRPRA	612.464885554455	2144.70457118663
SRXN1	45.771592965077	784.42128072075
STC2	3737.48622340703	284.529312351778
STK40	432.735579809978	2668.00549325341
STOM	2337.80965710225	33.2212634343322
STON2	1257.99216809496	78.4278708668683
SULF2	1125.1855537476	27.9312051826817
SV2A	990.245508973975	28.8753057044313
SYNE2	907.963873564269	2534.63397249578
SYNE3	1276.52718515649	26.4327613630958
TAF13	227.446301002806	1114.34144679221
TANC2	4223.82354968801	216.550281614535
TAPBP	1250.64233100889	217.241106359626
TBC1D10A	470.4364350723	1175.12176455384
TBC1D20	490.984464638661	1145.62628661636
TBX3	2906.19444357422	6458.46373016287
TCF4	439.480208377678	5.49597360705104
TCF7L1	738.034088649311	21.4778961954263
TEAD3	1046.08413946346	2853.59898355834
TECR	1632.3053857937	367.576274558942
TENM4	1546.4455595844	49.2353701558769
TENT5A	334.449410620236	5539.81173278113
TFAP2C	800.055464263996	4548.44982860986
TGFBI	21077.696475552	144.98192497944
TGFBR1	662.7399427646	16.3992629437518
TGFBR2	276.603791301682	3022.45892876526
THBS3	602.30428234449	21.5728534566057
THSD7A	29.4580629073448	534.864498661377
TINCR	138.713611539336	1620.45775617038
TLE4	1291.17353172277	88.4688052581076
TLE5	356.257852288515	1143.55737362061
TLN2	4480.27819989774	52.9858359643943
TMEM141	4141.37407655049	413.492371236693
TMEM263	2584.83653236858	370.422035095055
TMEM40	42.8685861876019	1031.61798280056
TMTC2	726.787610661514	46.8600869718231
TNC	2791.47657924547	41.3085641647924
TNFAIP2	75.6903555020478	2722.5180911419
TNFRSF19	1893.58671993241	36.7284182165483
TNFRSF1B	305.779483457791	15524.4152276098
TRIL	1315.21793670317	12.1508634392722
TRIML2	1328.5154394834	47.2417704592435
TRO	757.062748698193	28.7515152084185
TRPV2	57.6852770167395	3146.27443616906
TSPAN15	2973.45233646726	539.516620374354
TTC7B	275.159007581588	1549.28131557855
TUBB2A	975.564280190988	43.3140830327218
TUBB2B	3967.70102764925	66.9189645251862
TUBB6	1432.25098619065	53.4318882197249
TUFT1	248.633892620182	1195.68828333983
TUT7	904.866564956629	2036.03445785942
TYMP	990.321179490347	19.7552446255308
TYRO3	1180.05638600089	5341.25878841995
UBALD2	320.858248903674	2764.0262501731
UBAP1	436.755479206395	1359.98391806973
UBASH3B	2139.30522675777	116.538410007394
UBL3	1336.32874338335	62.9441788738752
UNC5B	921.766842529383	84.8581385920484
UNC5C	910.412614777072	14.0614563034569
UPP1	3313.57762313771	289.248321912812
VASP	1335.52499393884	4075.47649676312
VAV3	12.8784354945476	560.606845085066
VIM	6816.20212720538	44.4174770326023
VSIR	36.9900577882675	853.164718324893
VTCN1	6927.07052877191	169.47505369248
WASF1	906.970724130467	14.1909030768479
WDR26	855.641534214048	2162.91216059798
WDR86	1705.31976014902	111.467481309239
WFDC2	1761.30345480756	205.602436166443
WFIKKN1	1117.35099458628	45.9853332188946
WIPF1	1358.06429935219	15.3715527362743
WNK2	21.9842292157066	2004.97314478325
WNT6	1062.68646331631	60.4853533862919
WWC1	221.477716595194	1980.54464819474
XBP1	1079.69831812959	3697.96993442199
YPEL3	1077.87255630858	61.8194316476714
YY1AP1	320.221796679025	1323.86563885677
ZBTB7B	292.579592422792	1237.07092930929
ZCCHC8	223.876759144757	1052.47822844763
ZMIZ1	1470.98360511973	126.555070826386
ZNF114	97.3488928586776	1327.01142596727
ZNF318	681.546073211111	14.6525871196639
ZNF488	36.9814415777784	2062.95469365792
ZNF608	813.05907175075	25.6186957608466
ZNF750	119.265758802435	1649.5709823528
ZNF775	775.633130241685	21.7330468323426
ZNRF2	1975.25859204967	246.719389664903
ZYX	1275.87816865061	160.967482953261
