genesymbols	EXM	Prim	CTB
HSD11B2	24.9827690187964	1206.70294117466	82.881051884054
HSD17B1	39.000147013471	1460.44927205408	137.261609532271
HSD3B1	9.99662983786485	430.678884891923	105.843389808354
HSPB1	2330.42488785546	48907.9790922875	14479.9308879454
HSPB8	850.337954802577	13304.9712425988	1651.49233646742
HTRA3	4299.07992740096	336.632445270847	2300.7339291595
HUNK	171.06439812726	97.3494076453531	869.948875118891
ID1	14884.2738980269	1062.18291407852	9694.83207392277
IER2	1850.15792491005	7070.24541010426	6444.22183815635
IER5	613.551480414103	407.248475203356	2238.41515327881
IFI6	15120.0487681378	1710.08620024462	8322.78047679873
IFRD1	680.575691370515	5681.89529334502	1115.83713789035
IGFBP2	25151.7173077152	3116.30036281529	7060.93127991384
IGFBP4	288.42404166292	97.147895428066	1734.40334541451
IGFBP5	25080.9561882912	193.115989885981	442.359871932071
IGFBP7	2581.16970937417	29.5313148250155	88.4565710443065
IGFBPL1	1698.76838178398	27.3981518863033	115.798446753082
IL36RN	31.0365004935859	1016.64321602849	221.990980136653
IL6	6.66975915024489	57.1426437361034	658.203568827885
INHBA	3869.94299514941	34.873565536784	124.624921464949
INTS2	287.639423807032	1664.82727140862	680.048625944314
IQGAP3	194.004187414956	16.1712711071156	658.832531095264
ISG15	2307.06818389748	265.619091325163	1734.28863388376
ISL1	524.345876444815	4.93962142140883	35.1743107435722
ISM2	179.268738806028	549.433647410705	10052.8472873468
ITGB4	957.532868076321	426.721529090986	3221.78406372537
ITGB5	4517.67647269891	184.332301250754	1236.483331377
ITGB6	1343.67773106899	11.2079544826488	52.5533798516067
ITGB8	1.63990764817035	4.80097191562007	140.751535496255
ITIH5	206.416707828723	61.9023064114096	1393.36683075185
ITM2C	5796.10336018413	779.958537640704	4968.26550729427
JUN	2016.41627496051	56.0617131612707	803.619046348914
KAZN	230.088380425628	1767.38199959047	520.261113989156
KCNK12	1359.1394010515	22.9741816760317	337.98761721725
KCNMA1	2589.58991512554	31.0868034490634	79.4436948111614
KCNN4	20.8341104357549	1103.03962660556	129.108482687563
KCNQ5	396.345738518911	6.44148700514191	17.4817263174566
KCTD1	810.028399190069	19.9324015398349	74.3378247507266
KCTD12	983.32009253014	105.565115443601	318.948926837469
KHK	20.4726307643594	1429.2120542858	114.470542809381
KIAA0040	78.06013139014	2060.38321582806	412.023719258171
KIF13A	412.055329863173	1129.69941464671	676.731566261726
KIF18B	117.440549993244	18.3003892179286	482.593003355969
KIF23	195.007169855905	26.8796486272511	811.606844340844
KIF26B	1809.75734625894	21.4652745440613	88.9221676125469
KIF2C	374.229817275213	76.8940574341037	1728.02408554523
KIFC3	151.295155279521	83.579478464713	877.118987693787
KLF10	189.497041938725	1020.67693146528	464.36195672512
KLF5	266.953697164075	141.514968258064	1288.00514186782
KMT2C	749.485770461865	2771.98022286089	2889.09753743666
KRBOX1	211.638813126879	110.9655755025	844.681776136746
KRT17	841.581969411737	25.0989154848114	73.3351422604207
KRT23	186.655816949417	8230.69502430686	1312.04444398766
KRT80	90.3840266815176	4778.01862927993	990.435705567837
KYNU	5.72518628066861	398.225940757926	16.5274675465961
LAYN	816.239639868348	23.1618268884719	649.603539236222
LBH	1146.53757991622	60.8576334617796	21.05863718774
LGALS16	37.2631275358185	1175.96272947964	69.2251764423857
LGALSL	189.636275805583	3647.08507723465	379.848922785055
LIMCH1	2799.39270703298	311.065701493327	174.001185610324
LINGO1	1403.57465638907	39.3037759934695	124.884084137511
LMO2	6.03289903253722	616.67535841164	62.2977415181214
LMOD1	34.0831430253601	25.3716002467103	274.032613896196
LOXL2	3287.86542056507	60.0873726978542	1104.93209445004
LRATD1	388.338632981416	347.261795531512	2647.32018590778
LRATD2	6716.31785930396	479.273264487962	574.367456057105
LRRN1	1348.92583037839	51.9960646031187	538.138948049209
LRRN4	1997.52889980779	31.9324584900474	123.103723323313
LUM	1288.63267591751	26.1067104303655	66.3913472421049
LY6K	1882.16879376155	56.4377448815659	299.552381952884
LYN	654.875867868537	2349.3174874471	1233.05016635723
LYPD3	83.0241341893665	2657.72797179207	267.412990207109
LYPD5	22.2637774926618	1099.35347838354	101.40420461098
LYPD6B	1025.28215448683	111.557072908067	181.732018160045
